,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Date
0,sinnamary,GF,5.38,-52.95,84.45,67,4,9.01,1607964205
1,vaini,TO,-21.2,-175.2,78.8,88,75,10.29,1607964205
2,cape town,ZA,-33.93,18.42,71.01,72,75,12.75,1607964205
3,avarua,CK,-21.21,-159.78,77.0,88,100,4.7,1607964206
4,berbera,SO,10.44,45.01,77.41,58,11,10.25,1607964206
5,mataura,NZ,-46.19,168.86,51.01,94,21,8.01,1607964206
6,nalobikha,RU,53.2,84.6,13.98,95,100,17.6,1607964206
7,dikson,RU,73.51,80.55,-14.8,91,92,5.03,1607964206
8,pasni,PK,25.26,63.47,64.15,33,0,28.23,1607964206
9,mar del plata,AR,-38.0,-57.56,82.4,18,0,26.4,1607964207
10,orsha,BY,54.52,30.41,30.2,100,90,2.24,1607964207
11,kununurra,AU,-15.77,128.73,80.6,100,100,2.24,1607964207
12,norman wells,CA,65.28,-126.83,-41.8,64,20,2.24,1607964207
13,punta arenas,CL,-53.15,-70.92,44.6,65,75,28.86,1607964207
14,ushuaia,AR,-54.8,-68.3,41.0,75,20,25.28,1607963999
15,asau,RO,46.43,26.4,37.0,3,100,1.14,1607964208
16,saint-philippe,RE,-21.36,55.77,77.0,88,90,20.8,1607964208
17,georgetown,MY,5.41,100.34,78.8,94,20,3.36,1607964017
18,pisco,PE,-13.7,-76.22,69.8,77,0,9.17,1607964208
19,busselton,AU,-33.65,115.33,50.0,83,0,13.71,1607964208
20,katsuura,JP,35.13,140.3,44.6,56,75,9.17,1607964208
21,nemuro,JP,43.32,145.57,25.36,85,9,20.69,1607964187
22,suez,EG,29.97,32.53,65.17,29,10,11.97,1607964209
23,kaitangata,NZ,-46.28,169.85,46.99,97,23,3.0,1607964209
24,qaanaaq,GL,77.48,-69.36,11.16,88,100,8.3,1607964209
25,atuona,PF,-9.8,-139.03,78.1,75,37,15.82,1607964209
26,mongoumba,CF,3.64,18.59,85.3,40,33,2.04,1607964209
27,correntina,BR,-13.34,-44.64,90.21,36,63,2.77,1607964209
28,hobart,AU,-42.88,147.33,71.6,53,90,10.29,1607964209
29,new norfolk,AU,-42.78,147.06,71.6,53,90,10.29,1607964210
30,san quintin,MX,30.48,-115.95,61.75,67,67,18.03,1607964008
31,saint george,US,37.1,-113.58,41.0,41,90,4.7,1607964210
32,ostrovnoy,RU,68.05,39.51,23.61,95,6,7.96,1607964210
33,hermanus,ZA,-34.42,19.23,66.99,83,39,1.99,1607964210
34,port alfred,ZA,-33.59,26.89,69.01,91,87,5.01,1607964210
35,charters towers,AU,-20.1,146.27,75.18,71,98,8.37,1607964211
36,chuy,UY,-33.7,-53.46,77.49,32,0,3.94,1607964211
37,mahina,PF,-17.51,-149.49,75.2,78,20,3.36,1607964211
38,villazon,BO,-22.09,-65.59,63.36,36,36,7.96,1607964211
39,praia,CV,14.92,-23.51,80.6,54,20,18.34,1607963953
40,irshava,UA,48.32,23.04,39.0,93,15,1.83,1607964211
41,rikitea,PF,-23.12,-134.97,74.95,74,9,7.31,1607964212
42,bluff,NZ,-46.6,168.33,51.01,94,30,8.01,1607964212
43,lebu,CL,-37.62,-73.65,56.89,94,100,5.46,1607964212
44,sechura,PE,-5.56,-80.82,77.54,58,41,10.33,1607964212
45,havoysund,NO,71.0,24.66,32.0,94,75,16.11,1607964212
46,port blair,IN,11.67,92.75,79.39,84,92,10.27,1607964212
47,itaueira,BR,-7.6,-43.03,95.92,30,1,6.46,1607964212
48,port elizabeth,ZA,-33.92,25.57,68.0,77,75,14.99,1607964149
49,dovolnoye,RU,54.5,79.67,9.81,95,100,13.51,1607964213
50,naze,JP,28.37,129.48,59.0,72,75,20.8,1607964213
51,bengkulu,ID,-3.8,102.27,75.87,88,100,4.43,1607964213
52,luebo,CD,-5.35,21.42,72.05,96,99,2.89,1607964213
53,vardo,NO,70.37,31.11,32.0,96,75,16.11,1607964213
54,college,US,64.86,-147.8,12.2,66,90,17.22,1607964214
55,bahia honda,CU,22.9,-83.16,81.25,63,14,0.76,1607964214
56,lompoc,US,34.64,-120.46,48.0,81,1,10.29,1607964214
57,grand gaube,MU,-20.01,57.66,79.0,82,5,8.01,1607964214
58,barrow,US,71.29,-156.79,-2.2,70,40,28.86,1607964214
59,dharmavaram,IN,14.43,77.72,69.85,72,0,7.45,1607964214
60,nikolskoye,RU,59.7,30.79,27.0,92,90,4.47,1607964215
61,veraval,IN,20.9,70.37,69.35,51,26,14.56,1607964215
62,togur,RU,58.36,82.83,11.52,96,98,9.69,1607964215
63,kulunda,RU,52.57,78.94,8.06,94,94,12.15,1607964215
64,puerto ayora,EC,-0.74,-90.35,75.2,78,75,13.87,1607964215
65,tuktoyaktuk,CA,69.45,-133.04,-13.0,83,40,10.29,1607964216
66,vao,NC,-22.67,167.48,77.32,79,31,18.07,1607964216
67,odweyne,SO,9.41,45.06,65.75,44,56,8.37,1607964216
68,itarema,BR,-2.92,-39.92,86.45,58,95,15.21,1607964216
69,jamestown,US,42.1,-79.24,34.0,92,90,8.05,1607964173
70,porto novo,BJ,6.5,2.6,86.0,79,40,11.41,1607964216
71,kasane,BW,-17.82,25.15,68.0,100,75,6.93,1607964217
72,codrington,AU,-38.27,141.97,74.71,46,87,5.66,1607964217
73,kahului,US,20.89,-156.47,73.99,73,1,10.07,1607964217
74,kadoshkino,RU,54.03,44.42,14.0,95,98,10.83,1607964217
75,bunia,CD,1.57,30.25,67.89,59,93,2.1,1607964144
76,loma bonita,PA,8.38,-80.17,87.8,62,0,8.05,1607964218
77,kapaa,US,22.08,-159.32,75.2,88,40,12.75,1607964218
78,fortuna,US,40.6,-124.16,39.99,96,45,3.44,1607964218
79,tiksi,RU,71.69,128.87,-25.17,82,14,4.81,1607964218
80,north platte,US,41.12,-100.77,19.4,79,1,14.99,1607964104
81,albany,US,42.6,-73.97,36.0,77,100,1.99,1607964219
82,sao filipe,CV,14.9,-24.5,74.93,73,36,12.21,1607964219
83,pochutla,MX,15.74,-96.47,87.8,45,20,4.81,1607964219
84,marzuq,YE,14.4,46.47,53.82,41,0,2.15,1607964219
85,hasaki,JP,35.73,140.83,37.4,64,75,4.7,1607963994
86,lakatoro,VU,-16.1,167.42,79.93,82,100,6.87,1607964219
87,bethel,US,41.37,-73.41,35.01,86,90,0.89,1607964220
88,bridgetown,BB,13.1,-59.62,86.0,70,20,11.41,1607964202
89,doba,TD,8.65,16.85,86.29,16,0,3.33,1607964220
90,antalaha,MG,-14.9,50.28,76.87,72,34,11.5,1607964220
91,bonavista,CA,48.65,-53.11,33.01,92,100,3.36,1607964084
92,pingzhuang,CN,42.04,119.29,-10.77,79,0,1.9,1607964220
93,yellowknife,CA,62.46,-114.35,-32.8,73,5,6.93,1607964191
94,castro,BR,-24.79,-50.01,76.55,68,60,7.99,1607964220
95,warwick,US,41.7,-71.42,37.99,74,90,2.66,1607964125
96,nanortalik,GL,60.14,-45.24,35.28,83,100,1.86,1607964221
97,aklavik,CA,68.22,-135.01,-18.4,75,20,4.7,1607964221
98,miranda de ebro,ES,42.69,-2.95,53.01,87,40,8.05,1607964221
99,thompson,CA,55.74,-97.86,-25.6,74,5,3.36,1607964221
100,gayny,RU,60.31,54.32,14.23,95,100,7.11,1607964221
101,galich,RU,58.38,42.35,18.23,96,100,5.99,1607964221
102,apatity,RU,67.56,33.4,21.0,97,95,2.1,1607964222
103,yulara,AU,-25.24,130.99,86.0,45,40,14.99,1607964222
104,dolinsk,RU,47.35,142.8,-4.0,83,40,2.24,1607964222
105,mahebourg,MU,-20.41,57.7,77.0,94,75,11.41,1607964222
106,san patricio,US,28.02,-97.52,48.2,57,75,13.87,1607964222
107,shimoda,JP,34.67,138.95,34.0,77,41,20.94,1607964223
108,ketchikan,US,55.34,-131.65,42.8,93,90,6.93,1607964031
109,namibe,AO,-15.2,12.15,68.83,76,33,8.63,1607964223
110,lazaro cardenas,MX,17.96,-102.2,83.07,60,8,2.04,1607964224
111,cherskiy,RU,68.75,161.3,-17.37,88,100,3.6,1607964224
112,campo formoso,BR,-10.51,-40.32,88.0,31,68,8.63,1607964224
113,rio grande,BR,-32.03,-52.1,75.2,44,20,5.82,1607964224
114,taltal,CL,-25.4,-70.48,67.73,59,43,4.97,1607964224
115,paamiut,GL,61.99,-49.67,25.9,87,58,12.1,1607964225
116,bathsheba,BB,13.22,-59.52,86.0,70,20,11.41,1607964225
117,sartell,US,45.62,-94.21,10.99,55,1,10.29,1607964049
118,saint-augustin,CA,51.23,-58.65,29.7,98,100,21.68,1607964068
119,huarmey,PE,-10.07,-78.15,73.69,67,22,11.43,1607964226
120,bonoua,CI,5.27,-3.6,86.0,74,20,11.41,1607964226
121,hilo,US,19.73,-155.09,71.6,78,90,5.82,1607964226
122,alice springs,AU,-23.7,133.88,82.4,54,84,8.05,1607964226
123,carora,VE,10.18,-70.08,89.1,43,73,5.06,1607964227
124,aksarka,RU,66.56,67.8,-14.6,89,65,9.4,1607964227
125,saskylakh,RU,71.92,114.08,-33.23,81,96,11.77,1607964227
126,pokhara,NP,28.23,83.98,55.53,38,0,4.59,1607963963
127,ulladulla,AU,-35.35,150.47,66.2,100,90,4.65,1607964228
128,luderitz,NA,-26.65,15.16,69.8,60,0,27.51,1607964228
129,mitsamiouli,KM,-11.38,43.28,82.53,63,1,3.44,1607964228
130,dingle,PH,11.0,122.67,77.16,89,100,7.61,1607964228
131,caravelas,BR,-17.71,-39.25,84.7,54,44,10.51,1607964229
132,lagoa,PT,39.05,-27.98,58.19,65,42,19.28,1607964229
133,carnarvon,AU,-24.87,113.63,71.6,78,0,23.04,1607964229
134,grindavik,IS,63.84,-22.43,41.0,64,75,33.33,1607964229
135,bodden town,KY,19.28,-81.25,84.2,79,40,10.29,1607964229
136,luxor,EG,25.7,32.64,70.59,33,0,15.64,1607964201
137,nola,IT,40.92,14.53,54.0,53,0,4.0,1607964229
138,malatya,TR,38.5,38.0,46.4,93,90,6.93,1607964230
